Bruto         AliqINSS            ValINSS        BaseIR         AliqIR      ValIR          Liquido        
1415.36       8.00                113.23         1302.13        0.00        0.00           1302.13        
1752.20       9.00                157.70         1594.50        0.00        0.00           1594.50        
2091.56       9.00                188.24         1903.32        0.00        0.00           1903.32        
2093.10       9.00                188.38         1904.72        7.50        0.00           1904.72        
2235.00       9.00                201.15         2033.85        7.50        0.00           2033.85        
2239.00       9.00                201.51         2037.49        7.50        10.01          2027.48        
3176.00       11.00               349.36         2826.64        7.50        69.20          2757.44        
3176.10       11.00               349.37         2826.73        15.00       69.21          2757.52        
3178.90       11.00               349.68         2829.22        15.00       69.58          2759.64        
4214.50       11.00               463.60         3750.90        15.00       207.84         3543.07        
4215.00       11.00               463.65         3751.35        22.50       207.92         3543.43        
5241.00       11.00               576.51         4664.49        22.50       413.38         4251.11        
5242.00       11.00               576.62         4665.38        27.50       413.62         4251.76        
5900.00       0.00                0.00           5900.00        27.50       753.14         5146.86        
6500.00       0.00                0.00           6500.00        27.50       918.14         5581.86        
9000.00       0.00                0.00           9000.00        27.50       1605.64        7394.36        
10000.00      0.00                0.00           10000.00       27.50       1880.64        8119.36        
12000.00      0.00                0.00           12000.00       27.50       2430.64        9569.36        
15000.00      0.00                0.00           15000.00       27.50       3255.64        11744.36       
20000.00      0.00                0.00           20000.00       27.50       4630.64        15369.36       
